action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,359860,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(CCc2ccc(NC(=O)c3ccc(C)cc3O)cc2)ccc1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,,CHEMBL172429,,CHEMBL172429,,0,http://www.openphacts.org/units/Nanomolar,345666,>,1,1,>,,IC50,nM,,25000.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,25.0
,,359861,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1ccccc1-c1cccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,,CHEMBL176923,,CHEMBL176923,,0,http://www.openphacts.org/units/Nanomolar,345663,>,1,1,>,,IC50,nM,,25000.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,25.0
,,362216,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(C(=O)N(C)c2ccc(CCc3ccc(O)c(O)c3)cc2)c(O)c1,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '14.04', 'le': '0.26', 'lle': '1.13', 'sei': '6.54'}",CHEMBL177098,,CHEMBL177098,5.30,0,http://www.openphacts.org/units/Nanomolar,345654,=,1,1,=,,IC50,nM,,5000.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,5.0
,,368317,[],CHEMBL800470,Inhibitory activity against reticulocyte 15-lipoxygenase in rabbit was evaluated.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccccc1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '18.67', 'le': '0.34', 'lle': '2.68', 'sei': '7.26'}",CHEMBL367410,,CHEMBL367410,6.52,0,http://www.openphacts.org/units/Nanomolar,345651,=,1,1,=,,IC50,nM,,300.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.3
,,371055,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCCCc2ccc(O)c(O)c2)cc1)c1ccccc1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '17.28', 'le': '0.32', 'lle': '1.90', 'sei': '7.26'}",CHEMBL177100,,CHEMBL177100,6.52,0,http://www.openphacts.org/units/Nanomolar,345655,=,1,1,=,,IC50,nM,,300.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.3
,,372428,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(CCc2ccc(NC(=O)c3ccccc3O)cc2)cc1OC,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,,CHEMBL175315,,CHEMBL175315,,0,http://www.openphacts.org/units/Nanomolar,345652,>,1,1,>,,IC50,nM,,25000.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,25.0
,,373994,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCCc2ccc(O)c(O)c2)cc1)c1ccccc1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '17.95', 'le': '0.33', 'lle': '2.29', 'sei': '7.26'}",CHEMBL176689,,CHEMBL176689,6.52,0,http://www.openphacts.org/units/Nanomolar,345665,=,1,1,=,,IC50,nM,,300.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.3
,,375370,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(O)cc1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '14.51', 'le': '0.27', 'lle': '1.75', 'sei': '4.82'}",CHEMBL177171,,CHEMBL177171,5.30,0,http://www.openphacts.org/units/Nanomolar,345657,=,1,1,=,,IC50,nM,,5000.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,5.0
,,375371,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1cc(Br)ccc1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '13.60', 'le': '0.29', 'lle': '1.22', 'sei': '6.49'}",CHEMBL173802,,CHEMBL173802,5.82,0,http://www.openphacts.org/units/Nanomolar,345661,=,1,1,=,,IC50,nM,,1500.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,1.5
,,380936,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1cccc(Cl)c1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '15.43', 'le': '0.30', 'lle': '1.43', 'sei': '6.59'}",CHEMBL177055,,CHEMBL177055,5.92,0,http://www.openphacts.org/units/Nanomolar,345664,=,1,1,=,,IC50,nM,,1200.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,1.2
,,380937,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc2ccccc2c1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '16.02', 'le': '0.29', 'lle': '1.41', 'sei': '7.13'}",CHEMBL413350,,CHEMBL413350,6.40,0,http://www.openphacts.org/units/Nanomolar,345660,=,1,1,=,,IC50,nM,,400.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.4
,,382423,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1cccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,,CHEMBL176634,,CHEMBL176634,,0,http://www.openphacts.org/units/Nanomolar,345656,>,1,1,>,,IC50,nM,,25000.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,25.0
,,388407,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1c(O)ccc2ccccc12,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '15.58', 'le': '0.28', 'lle': '1.23', 'sei': '6.93'}",CHEMBL173368,,CHEMBL173368,6.22,0,http://www.openphacts.org/units/Nanomolar,345659,=,1,1,=,,IC50,nM,,600.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.6
,Not Active,593258,[],CHEMBL615138,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC)c(OC)c2)cc1OC,,,CHEMBL1135472,J Med Chem,2002.0,,CHEMBL90983,TERAMEPROCOL,CHEMBL90983,,0,http://qudt.org/vocab/unit#Percent,163228,,1,0,,,Inhibition,%,,,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,
,,593288,[],CHEMBL615136,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000201,BAO_0000357,single protein format,CC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(C)=O)c(OC(C)=O)c2)cc1OC(C)=O,,,CHEMBL1135472,J Med Chem,2002.0,,CHEMBL88460,,CHEMBL88460,,0,http://qudt.org/vocab/unit#Percent,163250,=,1,1,=,,Inhibition,%,,0.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,0.0
,,594530,[],CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000190,BAO_0000357,single protein format,CCc1cc(O)c(O)cc1C[C@@H](C)[C@@H](C)Cc1cc(O)c(O)cc1CC,,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '18.96', 'le': '0.36', 'lle': '2.11', 'sei': '8.40'}",CHEMBL92212,,CHEMBL92212,6.80,0,http://www.openphacts.org/units/Nanomolar,163232,=,1,1,=,,IC50,nM,,160.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.16
,,597135,[],CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc2c(c1)OC(C)(C)O2,,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '20.65', 'le': '0.39', 'lle': '2.41', 'sei': '12.00'}",CHEMBL88952,,CHEMBL88952,7.07,0,http://www.openphacts.org/units/Nanomolar,163239,=,1,1,=,,IC50,nM,,85.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.085
,,597138,[],CHEMBL615136,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000201,BAO_0000357,single protein format,COc1cc(N)c(C[C@@H](C)[C@@H](C)Cc2cc(OC)c(OC)cc2N)cc1OC,,,CHEMBL1135472,J Med Chem,2002.0,,CHEMBL86623,,CHEMBL86623,,0,http://qudt.org/vocab/unit#Percent,163242,=,1,1,=,,Inhibition,%,,0.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,0.0
,,598285,[],CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](Cc1cc(O)c(O)cc1[N+](=O)[O-])[C@@H](C)Cc1cc(O)c(O)cc1[N+](=O)[O-],,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '16.45', 'le': '0.31', 'lle': '3.08', 'sei': '3.86'}",CHEMBL92359,,CHEMBL92359,6.46,0,http://www.openphacts.org/units/Nanomolar,163234,=,1,1,=,,IC50,nM,,350.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.35
,,602038,[],CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)c1cc(O)c(O)cc1C[C@@H](C)[C@@H](C)Cc1cc(O)c(O)cc1C(C)=O,,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '16.61', 'le': '0.31', 'lle': '2.45', 'sei': '5.58'}",CHEMBL89275,,CHEMBL89275,6.42,0,http://www.openphacts.org/units/Nanomolar,163233,=,1,1,=,,IC50,nM,,380.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.38
,,602041,[],CHEMBL615132,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000186,BAO_0000357,single protein format,CCCC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CCC)c(OC(=O)CCC)c2)cc1OC(=O)CCC,,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '11.19', 'le': '0.21', 'lle': '-1.05', 'sei': '6.20'}",CHEMBL313630,,CHEMBL313630,6.52,0,http://www.openphacts.org/units/Nanomolar,163248,=,1,1,=,,AC50,nM,,300.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,AC50,uM,UO_0000065,,0.3
,,602044,[],CHEMBL615135,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000201,BAO_0000357,single protein format,CCCC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CCC)c(OC(=O)CCC)c2)cc1OC(=O)CCC,,,CHEMBL1135472,J Med Chem,2002.0,,CHEMBL313630,,CHEMBL313630,,0,http://qudt.org/vocab/unit#Percent,163248,=,1,1,=,,Inhibition,%,,77.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,77.0
,,602045,[],CHEMBL615132,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000186,BAO_0000357,single protein format,CC(C)CC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CC(C)C)c(OC(=O)CC(C)C)c2)cc1OC(=O)CC(C)C,,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '10.49', 'le': '0.20', 'lle': '-1.85', 'sei': '6.37'}",CHEMBL315582,,CHEMBL315582,6.70,0,http://www.openphacts.org/units/Nanomolar,163246,=,1,1,=,,AC50,nM,,200.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,AC50,uM,UO_0000065,,0.2
,,602048,[],CHEMBL615135,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000201,BAO_0000357,single protein format,CC(C)CC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CC(C)C)c(OC(=O)CC(C)C)c2)cc1OC(=O)CC(C)C,,,CHEMBL1135472,J Med Chem,2002.0,,CHEMBL315582,,CHEMBL315582,,0,http://qudt.org/vocab/unit#Percent,163246,=,1,1,=,,Inhibition,%,,110.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,110.0
,,604819,[],CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](Cc1cc(O)c(O)cc1Br)[C@@H](C)Cc1cc(O)c(O)cc1Br,,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '15.39', 'le': '0.40', 'lle': '1.99', 'sei': '8.75'}",CHEMBL89283,,CHEMBL89283,7.08,0,http://www.openphacts.org/units/Nanomolar,163235,=,1,1,=,,IC50,nM,,83.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.083
,,608289,[],CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(C[C@@H](C)[C@@H](C)Cc2ccc(O)c(O)c2)ccc1O,,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '20.87', 'le': '0.39', 'lle': '2.73', 'sei': '9.44'}",CHEMBL316139,,CHEMBL316139,6.60,0,http://www.openphacts.org/units/Nanomolar,163238,=,1,1,=,,IC50,nM,,250.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.25
,Not Active,609438,[],CHEMBL615137,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,BAO_0000201,BAO_0000357,single protein format,COc1cc(C[C@@H](C)[C@@H](C)Cc2cc(OC)c(OC)cc2C(C)=O)c(C(C)=O)cc1OC,,,CHEMBL1135472,J Med Chem,2002.0,,CHEMBL85127,,CHEMBL85127,,0,http://qudt.org/vocab/unit#Percent,163229,,1,0,,,Inhibition,%,,,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,
,,609445,[],CHEMBL615134,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000190,BAO_0000357,single protein format,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,,,CHEMBL1135472,J Med Chem,2002.0,"{'bei': '23.01', 'le': '0.43', 'lle': '3.39', 'sei': '8.60'}",CHEMBL52,NORDIHYDROGUAIARETIC ACID,CHEMBL52,6.96,1,http://www.openphacts.org/units/Nanomolar,163240,=,1,1,=,,IC50,nM,,110.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.11
,Not Active,610647,[],CHEMBL615137,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,BAO_0000201,BAO_0000357,single protein format,COc1cc(Cl)c(C[C@@H](C)[C@@H](C)Cc2cc(OC)c(OC)cc2Cl)cc1OC,,,CHEMBL1135472,J Med Chem,2002.0,,CHEMBL88425,,CHEMBL88425,,0,http://qudt.org/vocab/unit#Percent,163251,,1,0,,,Inhibition,%,,,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,
,,611591,[],CHEMBL615147,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,BAO_0000201,BAO_0000357,single protein format,O=C1NCCN(c2ccccc2)N1,,,CHEMBL1129426,J Med Chem,1996.0,,CHEMBL340341,,CHEMBL340341,,0,http://qudt.org/vocab/unit#Percent,245056,=,1,1,=,,Inhibition,%,,14.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,14.0
,,611823,[],CHEMBL615136,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,BAO_0000201,BAO_0000357,single protein format,C[C@H](Cc1ccc(OCOC(=O)C(C)(C)C)c(OCOC(=O)C(C)(C)C)c1)[C@@H](C)Cc1ccc(OCOC(=O)C(C)(C)C)c(OCOC(=O)C(C)(C)C)c1,,,CHEMBL1135472,J Med Chem,2002.0,,CHEMBL316162,,CHEMBL316162,,0,http://qudt.org/vocab/unit#Percent,163244,=,1,1,=,,Inhibition,%,,0.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,0.0
,,612754,[],CHEMBL615146,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1CCN(c2ccccc2)N1,,,CHEMBL1129426,J Med Chem,1996.0,"{'bei': '39.32', 'le': '0.73', 'lle': '5.45', 'sei': '19.72'}",CHEMBL7660,PHENIDONE,CHEMBL7660,6.38,0,http://www.openphacts.org/units/Nanomolar,245113,=,1,1,=,,IC50,nM,,420.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.42
